WaistBack-x,WaistBack-y,WaistBack-z,WaistL-x,WaistL-y,WaistL-z,LKnee-x,LKnee-y,LKnee-z,LAnkleOut-x,LAnkleOut-y,LAnkleOut-z,WaistR-x,WaistR-y,WaistR-z,RKnee-x,RKnee-y,RKnee-z,RAnkleOut-x,RAnkleOut-y,RAnkleOut-z,SpineThoracic12-x,SpineThoracic12-y,SpineThoracic12-z,UpperTorso-x,UpperTorso-y,UpperTorso-z,NeckBase-x,NeckBase-y,NeckBase-z,CenterHead-x,CenterHead-y,CenterHead-z,RShoulderTop-x,RShoulderTop-y,RShoulderTop-z,RElbow-x,RElbow-y,RElbow-z,RHand-x,RHand-y,RHand-z,LShoulderTop-x,LShoulderTop-y,LShoulderTop-z,LElbow-x,LElbow-y,LElbow-z,LHand-x,LHand-y,LHand-z,RForefoot-x,RForefoot-y,RForefoot-z,LForefoot-x,LForefoot-y,LForefoot-z
874.742,512.593,1138.926,977.728,701.006,1108.105,1178.9450000000002,600.3295,598.4929999999999,1256.425,587.586,162.961,1003.247,357.647,1111.379,890.6875,464.0005,552.663,451.078,410.838,543.983,895.559,513.411,1414.198,1035.233,567.423,1513.445,1084.43175,575.17175,1668.11675,1147.878333333333,583.2800000000001,1774.525,1135.061,399.478,1549.478,1016.946,218.563,1278.975,1166.416,411.1135,1293.0625,985.973,741.506,1571.482,707.271,752.9590000000001,1364.9385,932.5525,791.783,1267.522,178.078,226.0335,184.1865,1426.6495,591.053,197.485
873.842,512.665,1134.427,976.897,701.009,1102.701,1177.266,600.2360000000001,595.55,1247.955,586.616,157.472,1002.459,357.513,1107.349,899.5129999999999,462.6275,547.221,461.137,411.595,556.946,894.103,514.586,1411.311,1035.1625,567.52,1509.258,1085.01625,575.4225,1664.0115,1149.3133333333333,583.7223333333333,1770.3186666666668,1133.537,398.746,1545.717,1009.73,218.712,1277.3265,1163.719,408.199,1284.301,987.003,742.251,1566.985,711.592,758.136,1355.65,939.311,793.4875,1262.568,179.107,223.425,192.2115,1418.4924999999998,590.216,190.253
873.124,512.617,1129.594,975.823,700.441,1096.907,1175.648,600.4415,592.2465,1237.854,585.702,151.468,1001.779,357.319,1102.895,908.5285,461.161,541.7639999999999,472.055,412.134,568.642,892.966,515.729,1407.957,1034.9665,567.6869999999999,1504.7755000000002,1085.581,575.6105,1659.5445,1150.591,584.1333333333333,1765.7593333333334,1131.908,397.96,1541.688,1002.041,219.19,1275.5625,1161.259,404.759,1275.571,988.304,742.985,1562.009,716.2035,763.7584999999999,1345.7835,946.32,795.1375,1257.2959999999998,181.1005,221.055,199.6125,1408.8025,588.952,181.952
872.381,512.399,1124.487,974.989,699.777,1091.037,1173.9255,600.4365,588.5740000000001,1226.332,585.115,145.191,1001.365,357.033,1098.195,917.8775,459.607,536.0455,483.848,412.402,579.054,891.792,516.986,1404.329,1034.6725,567.7850000000001,1500.083,1086.10425,575.81275,1654.7710000000002,1151.7516666666668,584.5116666666667,1760.9766666666667,1130.32,397.109,1537.39,994.5445,219.5465,1273.6965,1158.819,400.8065,1266.7134999999998,989.596,743.84,1556.566,721.3979999999999,769.7764999999999,1335.2305,953.9495,796.8105,1251.5105,184.04,218.9645,206.3485,1397.7145,587.222,172.7135
871.764,511.728,1119.116,973.849,698.875,1085.116,1171.674,600.2855,583.951,1213.554,584.495,138.476,1001.103,356.609,1093.225,927.6765,458.2415,530.1134999999999,496.396,412.424,588.116,890.779,518.057,1400.338,1034.467,567.913,1495.051,1086.648,576.0505,1649.7275,1152.898,584.801,1755.9493333333332,1128.673,396.218,1532.886,986.978,219.9955,1271.557,1155.6864999999998,396.967,1257.7865,991.201,744.915,1550.747,727.125,776.125,1324.144,961.9885,798.1505,1245.3705,187.912,217.2875,212.364,1385.097,585.1735,162.476
871.161,511.197,1113.567,972.402,698.085,1079.629,1169.09,599.685,578.3725,1199.052,584.711,133.965,1000.795,356.229,1087.835,938.054,456.6025,523.9655,509.556,411.945,595.796,890.125,519.21,1395.863,1034.283,568.0615,1489.77,1087.04925,576.21825,1644.3575,1153.8406666666667,584.9623333333334,1750.6723333333332,1126.637,395.478,1528.054,979.404,220.664,1269.2655,1152.424,392.858,1248.832,992.898,745.874,1544.544,733.418,782.7985000000001,1312.3915,970.598,799.4875,1238.869,192.481,216.051,217.44,1370.641,582.928,150.314
870.161,510.126,1108.255,970.712,697.549,1074.723,1166.5275,599.438,572.453,1181.103,583.29,130.009,1000.601,355.715,1082.254,948.5105,455.5195,517.4725,523.406,411.418,601.928,889.267,520.299,1391.076,1034.18,568.258,1484.3025,1087.398,576.30325,1638.6925,1154.6313333333335,585.0836666666667,1745.1526666666666,1124.699,394.539,1522.976,972.213,221.2475,1266.8555,1148.885,388.6385,1239.8615,994.657,746.796,1537.944,740.369,789.4165,1300.0135,979.724,800.684,1232.0605,197.8915,215.1305,221.7495,1354.875,580.307,133.4435
869.356,509.467,1102.672,969.368,697.275,1069.943,1163.889,599.622,566.3125,1162.147,579.575,125.4,1000.363,355.147,1076.429,959.656,454.404,510.8375,537.889,410.633,606.494,888.622,521.373,1385.857,1034.184,568.428,1478.577,1087.68875,576.4305,1632.8015,1155.1893333333337,585.1613333333333,1739.4973333333337,1122.767,393.713,1517.692,964.789,222.126,1264.247,1145.0835,384.322,1231.0915,996.577,747.783,1531.018,748.0074999999999,796.444,1287.1745,989.416,801.8695,1225.093,203.7625,214.731,225.2185,1336.2995,578.5115000000001,115.7335
868.433,508.709,1096.997,968.24,697.306,1064.95,1161.467,599.5785,560.0275,1142.064,575.49,123.974,999.644,355.182,1070.269,971.325,453.448,504.4455,552.753,409.675,609.593,888.229,522.501,1380.186,1034.1725,568.5930000000001,1472.6315,1087.8545,576.5537499999999,1626.748,1155.619333333333,585.17,1733.7916666666667,1120.58,392.899,1512.193,957.4995,222.747,1261.6315,1141.0245,379.956,1222.4655,998.634,748.864,1523.864,756.4095,803.595,1273.841,999.6265,802.474,1217.8055,210.135,214.6985,227.767,1318.237,576.7284999999999,102.19
866.944,508.179,1091.668,967.124,697.67,1059.88,1159.367,599.1424999999999,553.385,1120.992,571.038,124.623,999.04,354.843,1063.991,983.747,452.493,498.4295,568.191,408.639,611.1,887.959,523.574,1374.143,1034.2005,568.798,1466.4105,1087.9845,576.64625,1620.6295,1155.9563333333333,585.1446666666667,1728.1956666666667,1118.389,391.933,1506.677,950.1195,223.4625,1259.0125,1136.4475,375.7115,1213.9355,1000.789,749.904,1516.424,765.783,811.1225,1260.2134999999998,1010.273,803.1455000000001,1210.641,217.0995,215.0095,229.5935,1297.921,573.4055,98.132
864.764,507.689,1086.633,965.329,698.195,1054.691,1157.682,597.9025,546.783,1098.708,567.453,126.672,998.161,354.657,1057.562,996.596,452.014,492.826,583.802,407.506,611.36,887.711,524.625,1367.778,1034.181,569.0115000000001,1460.0125,1088.0195,576.73625,1614.5784999999998,1156.135,585.0596666666667,1722.8146666666664,1116.108,390.984,1501.098,942.701,224.2625,1256.4969999999998,1132.047,371.00250000000005,1205.965,1002.989,751.046,1508.927,775.8330000000001,818.226,1246.32,1021.422,803.5355,1203.647,223.935,215.589,230.8265,1273.5815,569.1435,93.8725
862.494,507.279,1081.786,962.897,698.587,1049.489,1156.28,596.1205,542.3475,1076.724,564.562,128.617,997.077,354.45,1051.047,1009.9555,451.9435,487.692,599.452,406.379,610.264,887.692,525.72,1361.051,1034.09,569.1175000000001,1453.603,1088.0375,576.8785,1608.728,1156.296,584.9396666666667,1717.8793333333333,1113.652,390.172,1495.401,935.457,224.9445,1254.0155,1127.3565,366.377,1198.434,1005.25,752.456,1501.534,787.1034999999999,825.5345,1232.1675,1033.133,803.5944999999999,1196.8445000000002,231.6275,216.324,231.027,1250.928,568.0435,90.2905
860.076,506.299,1077.51,959.75,698.557,1044.588,1156.115,594.0775000000001,542.1990000000001,1055.549,563.141,130.092,995.777,353.949,1044.56,1024.382,451.836,483.782,614.99,405.251,607.932,887.569,526.854,1354.256,1033.9545,569.277,1447.422,1088.03425,577.049,1603.2135,1156.428,584.8346666666666,1713.4516666666668,1111.221,389.328,1489.907,927.8365,225.9165,1251.8455,1122.4009999999998,361.818,1191.534,1007.483,753.839,1494.42,799.325,832.5264999999999,1218.0295,1045.2869999999998,803.27,1190.547,239.5475,216.863,230.005,1228.2885,569.1145,87.2765
858.026,505.325,1073.778,955.93,697.932,1040.284,1155.9135,592.7265,543.444,1033.41,562.587,131.137,994.361,353.28,1038.014,516.4365,198.5235,239.9825,630.501,404.083,604.629,887.402,528.403,1347.568,1033.9185,569.223,1441.6355,1088.0365,577.23075,1598.0657500000002,1156.5243333333335,584.7143333333333,1709.4803333333332,1108.562,388.61,1484.505,920.431,226.975,1250.155,1117.3305,357.4275,1185.5135,1009.955,755.211,1487.724,812.6410000000001,839.3625,1204.1725,1058.019,802.4169999999999,1184.966,247.4725,217.5055,228.048,1204.7945,568.8515,85.507
856.277,503.823,1070.331,951.267,696.828,1036.977,1154.2125,592.4865,543.7235000000001,1010.281,562.837,131.47,993.047,352.593,1031.662,524.203,199.0575,238.829,645.669,403.154,600.099,886.612,530.453,1341.556,1033.8294999999998,569.004,1436.141,1088.01825,577.3750000000001,1593.29725,1156.5053333333333,584.5416666666666,1705.7976666666666,1105.843,388.043,1479.388,912.89,228.3325,1248.956,1112.0225,353.1555,1180.5405,1012.622,756.366,1481.625,827.0615,845.8955000000001,1190.8125,1071.1665,801.029,1180.4095,256.113,218.1575,225.217,1180.517,569.1790000000001,84.18
854.847,502.115,1067.067,946.928,696.034,1034.778,1150.531,592.576,542.1425,986.761,563.262,131.393,991.782,352.169,1025.75,532.3415,199.744,238.3015,660.303,402.236,594.597,885.852,532.672,1336.444,1033.8735,568.5685,1431.1329999999998,1087.827,577.4884999999999,1589.00825,1156.4486666666664,584.334,1702.4563333333333,1103.061,387.604,1474.899,905.691,229.6395,1248.4175,1106.7275,349.5645,1176.7815,1014.712,757.43,1476.023,842.3910000000001,851.939,1178.408,1084.5145,799.0509999999999,1177.0455000000002,265.203,218.7635,221.2865,1156.02,569.548,82.9985
853.489,500.509,1064.476,943.483,695.688,1033.024,1143.39,592.5365,537.0735,963.203,563.733,131.2,990.422,352.533,1020.612,540.8525,200.552,238.4545,674.601,401.524,588.028,884.599,534.91,1332.555,1034.412,568.364,1426.929,1087.4885,577.4704999999999,1585.5927499999998,1156.186,584.162,1699.514,1100.724,386.691,1472.087,898.4575,231.2845,1248.5975,1101.193,346.396,1174.399,1016.285,758.302,1471.291,858.9135000000001,857.5129999999999,1167.291,1098.5145,796.9345000000001,1175.2705,274.0985,219.259,216.4215,1131.42,569.4960000000001,81.911
